control_index,regulation,requirement_index,requirement_text,similarity,match_level,tags,category_refined
0,glba,12,Use encryption to protect sensitive data in transit and at rest.,0.8208780288696289,Strong,"encryption, data protection, transmission",Information Security
0,glba,11,Secure customer data both electronically and physically.,0.6781070828437805,No Match,"physical security, electronic security",Information Security
2,msa,22,Keep track of all transactions for auditing.,0.8452459573745728,Strong,"transaction traceability, audit",Audit & Compliance
2,rbi,28,Keep proper records of all banking transactions.,0.7102367281913757,Weak,"record keeping, transactions, compliance",Governance & Documentation
4,pipeda,0,Get permission from individuals before collecting their personal data.,0.7938693761825562,Possible,"consent, permission, personal information",Consent Management
4,pipeda,29,Keep records of consent and data use activities.,0.719423770904541,Weak,"record keeping, consent, data processing",Governance & Documentation
4,gdpr,1,"Collect personal data only for clear, lawful reasons.",0.7132763266563416,Weak,"purpose limitation, data collection",Data Protection Principles
4,dpdp,13,Collect personal data straight from the person unless allowed otherwise.,0.7112270593643188,Weak,"data collection, direct source, authorization",Data Collection
4,pipeda,5,Have clear policies on how personal data is handled.,0.7101099491119385,Weak,"policies, accountability, data management",Governance & Accountability
5,glba,5,Only allow authorized staff to access customer data.,0.6511135101318359,No Match,"access control, authorization, data security",Access Management
8,msa,6,Protect customer data with privacy safeguards.,0.7272403240203857,Weak,"data privacy, protection, customer data",Data Protection & Privacy
8,glba,0,Protect customer data from unauthorized access or use.,0.7160729169845581,Weak,"data protection, unauthorized access, safeguards",Information Security
8,glba,28,Prevent unauthorized sharing of customer data.,0.7140507102012634,Weak,"confidentiality, data protection",Information Security
8,glba,11,Secure customer data both electronically and physically.,0.6928398609161377,No Match,"physical security, electronic security",Information Security
8,glba,1,Create and follow a written plan to secure customer information.,0.679779052734375,No Match,"security plan, documentation, safeguards",Governance & Security Planning
16,pipeda,24,Make privacy policies easy to find and read.,0.7169786691665649,Weak,"privacy policy, accessibility, transparency",Governance & Transparency
16,glba,26,Make sure policies follow all privacy laws.,0.7110863924026489,Weak,"policy compliance, legal requirements",Governance & Compliance
16,pipeda,26,Regularly check adherence to privacy policies.,0.6966410875320435,No Match,"monitoring, auditing, compliance",Governance & Accountability
16,glba,27,Send yearly privacy notices to consumers.,0.6791548728942871,No Match,"privacy notice, annual communication",Transparency & Communication
16,glba,8,Inform customers about privacy policies and practices.,0.6632617712020874,No Match,"privacy notice, customer communication",Transparency & Communication
17,pipeda,27,Collect only the personal data that is really needed.,0.7862616777420044,Possible,"data minimization, necessity",Data Collection & Use
